No.,Epoch Time,Source,MAC Source,Source Port,Destination,MAC Destination,Destination Port,Protocol,Length,Frame Number,Frame length on the wire,Sequence number,Acknowledgment number,Urgent pointer,Syn,Fin,Push,Congestion Window Reduced (CWR),Explicit Congestion Notification,Time to live,Reserved bit,Don't fragment,More fragments,Fragment offset,Window size value,Total Length,Next sequence number,Timestamp value,Bytes sent since last PSH flag,Re1,Timestamp echo reply,Source
72,1563210031,131.252.210.177,20:e5:2a:b6:93:f1,25,10.7.15.101,00:08:02:1c:47:ae,49165,3,68,72,68,197,43,0,2,2,1,2,2,128,2,2,2,0,64240,54,211,0,14,2,0,normal
73,1563210031,10.7.15.101,00:08:02:1c:47:ae,49165,131.252.210.177,20:e5:2a:b6:93:f1,25,3,99,73,99,43,211,0,2,2,1,2,2,128,2,1,2,0,64030,85,88,0,45,2,0,mydoom
74,1563210031,131.252.210.177,20:e5:2a:b6:93:f1,25,10.7.15.101,00:08:02:1c:47:ae,49165,1,54,74,54,211,88,0,2,2,2,2,2,128,2,2,2,0,64240,40,211,0,0,2,0,normal
75,1563210031,89.238.68.194,20:e5:2a:b6:93:f1,25,10.7.15.101,00:08:02:1c:47:ae,49166,3,115,75,115,1,1,0,2,2,1,2,2,128,2,2,2,0,64240,101,62,0,61,2,0,normal
76,1563210031,10.7.15.101,00:08:02:1c:47:ae,49166,89.238.68.194,20:e5:2a:b6:93:f1,25,3,83,76,83,1,62,0,2,2,1,2,2,128,2,1,2,0,64179,69,30,0,29,2,0,mydoom
77,1563210031,89.238.68.194,20:e5:2a:b6:93:f1,25,10.7.15.101,00:08:02:1c:47:ae,49166,1,54,77,54,62,30,0,2,2,2,2,2,128,2,2,2,0,64240,40,62,0,0,2,0,normal
78,1563210031,89.238.68.194,20:e5:2a:b6:93:f1,25,10.7.15.101,00:08:02:1c:47:ae,49166,3,195,78,195,62,30,0,2,2,1,2,2,128,2,2,2,0,64240,181,203,0,141,2,0,normal
79,1563210031,10.7.15.101,00:08:02:1c:47:ae,49166,89.238.68.194,20:e5:2a:b6:93:f1,25,3,101,79,101,30,203,0,2,2,1,2,2,128,2,1,2,0,64038,87,77,0,47,2,0,mydoom
80,1563210031,89.238.68.194,20:e5:2a:b6:93:f1,25,10.7.15.101,00:08:02:1c:47:ae,49166,1,54,80,54,203,77,0,2,2,2,2,2,128,2,2,2,0,64240,40,203,0,0,2,0,normal
81,1563210031,89.238.68.194,20:e5:2a:b6:93:f1,25,10.7.15.101,00:08:02:1c:47:ae,49166,3,68,81,68,203,77,0,2,2,1,2,2,128,2,2,2,0,64240,54,217,0,14,2,0,normal
82,1563210031,10.7.15.101,00:08:02:1c:47:ae,49166,89.238.68.194,20:e5:2a:b6:93:f1,25,3,98,82,98,77,217,0,2,2,1,2,2,128,2,1,2,0,64024,84,121,0,44,2,0,mydoom
83,1563210031,89.238.68.194,20:e5:2a:b6:93:f1,25,10.7.15.101,00:08:02:1c:47:ae,49166,1,54,83,54,217,121,0,2,2,2,2,2,128,2,2,2,0,64240,40,217,0,0,2,0,normal
